,PERMNO,PERMCO,NWPERM,SHROUT
N,"4,657,300","4,657,300","37,954","4,618,550"
Mean,"55,747.03","23,140.81","10,077.50","53,273.92"
Std Dev,"28,946.20","17,814.12","24,565.91","254,078.30"
Min,"10,000.00",2.00,0.00,0.00
1%,"10,326.00",290.00,0.00,169.00
5%,"11,825.00","1,440.00",0.00,741.00
12.5%,"15,315.38","3,624.00",0.00,"1,520.00"
25%,"24,328.00","8,165.00",0.00,"3,258.00"
50%,"61,989.00","20,649.00",0.00,"10,312.00"
87.5%,"88,779.00","52,902.00","30,430.00","76,356.00"
95%,"91,454.00","55,473.00","80,196.85","187,264.55"
99%,"93,016.00","58,488.00","89,865.99","726,287.00"
Max,"93,436.00","60,123.00","99,841.00","29,206,400.00"
